"PIN","age","sex","sexOrient","sexOrientText","gender","genderText","relStat","relStatText","raceAAPI","raceBlack","raceLatinx","raceNAAI","raceMENA","raceWhite","raceNA","religion","politics","international","poliDQVC","poliDQMC","poliDQSC","poliDQCent","poliDQSL","poliDQML","poliDQVL","ageDQ18","ageDQ19","ageDQ20","ageDQ21","ageDQ22","ageDQ23_25","ageDQ26plus","raceDQAAPI","raceDQBlack","raceDQLatinx","raceDQNAAI","raceDQMENA","raceDQWhite","religionDQ1","religionDQ2","religionDQ3","religionDQ4","religionDQ5","religionDQ6","religionDQ7","religionDQ8","religionDQ9","religionDQ10","religionDQ11","internationalDQDom","internationalDQInt","idealAffectionComp","idealAmbitionComp","idealArtisticComp","idealDispositionComp","idealFamilyComp","idealHealthComp","idealHumorComp","idealIntelligentComp","idealKindComp","idealParentingComp","idealPhysattComp","idealReligiousComp","idealResourcesComp","idealSexyComp","idealStatusComp","selfAffectionateComp","selfAmbitionComp","selfArtisticComp","selfDispositionComp","selfFamilyComp","selfHealthComp","selfHumorComp","selfIntelligentComp","selfKindComp","selfParentingComp","selfPhysattComp","selfReligiousComp","selfResourcesComp","selfSexyComp","selfStatusComp","quarter"
"f24567485",21,0,1,NA,0,"",1,"",NA,NA,1,NA,NA,1,NA,11,6,0,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,8.5,6.5,6.5,5.5,5,6,7,5.5,6.5,5,8.5,5,6,8,7.5,8.5,8.5,9,10,9,5.5,9.5,5.5,6.5,4.5,7,3.5,5,5,5.5,"fall"
"f24969026",21,1,3,NA,1,"",1,"",NA,1,NA,NA,NA,1,NA,12,6,0,NA,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,1,1,NA,5.5,5.5,6,5.5,4.5,5,7,5,6.5,5.5,5,4.5,5,5.5,5.5,6.5,7.5,7.5,6,8,6,8.5,6,6.5,6,5.5,4.5,5,6.5,7,"fall"
"f24357943",18,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,11,7,0,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,5,7.5,6,5.5,6.5,7,7,6.5,9,7.5,8,2.5,5.5,7,8.5,3.5,6.5,6,5,7.5,7.5,9,6.5,8,6.5,7.5,2.5,5,5,5.5,"fall"
"f24570405",18,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,1,6,0,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7.5,8,3.5,7.5,7,6,8.5,7,9,7,7,2.5,6.5,4.5,6.5,7.5,8,2.5,7,7.5,5.5,8,8,8,7.5,7,1.5,7.5,5,7.5,"fall"
"f24907662",18,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,10,6,0,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,8,7.5,7,7,6.5,7,6.5,7,6.5,7.5,6.5,3,5,6,5.5,8,6.5,6,7,8.5,7,7,6,6.5,6.5,5.5,3.5,5.5,5,5.5,"fall"
"f24886813",22,0,1,NA,0,"",1,"",1,NA,NA,NA,NA,1,NA,11,7,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,7.5,6.5,6.5,8,6.5,6,8,7,7.5,7.5,7,0.5,6.5,6.5,6.5,7,6,5.5,7.5,7,5,8,6.5,9,8,6.5,0,4.5,5.5,6.5,"fall"
"f2446108",21,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,1,NA,11,6,0,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.5,8,5.5,9,5,7,10,8,9.5,5.5,6.5,5,7,9,9,10,8,10,9.5,10,6.5,9.5,8,9.5,10,9,2.5,6.5,9.5,7.5,"fall"
"f24502063",19,0,1,NA,0,"",1,"",NA,NA,1,NA,NA,1,NA,12,7,0,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,8,7,5.5,6,6,5.5,8.5,7,8,7,7.5,2.5,5,8.5,6,9,8.5,9.5,6,6,8,9.5,8,9.5,8,6.5,0,9,7,7.5,"fall"
"f24632981",23,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,7,7.5,5.5,7.5,7.5,8,8.5,7,8.5,7,7,1,6.5,7,7.5,7.5,8.5,5.5,7.5,8,7.5,8,6.5,8.5,7,7.5,0,5,6,6,"fall"
"f24251362",20,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,12,4,0,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,7,8,7.5,6.5,9,9,7,7.5,6.5,8.5,7,0.5,7,7.5,8.5,3,5,5.5,6,2.5,7,6,4.5,7.5,7,4,0,5.5,6.5,5,"fall"
"f2464718",20,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,10,7,0,NA,NA,NA,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,6.5,5.5,7,8,6.5,8.5,9,9.5,6.5,7.5,9,4.5,7.5,7,6,5,4.5,4.5,5,6,7.5,7,8.5,6,5,5.5,0,4,4,5,"fall"
"f24819140",19,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,12,4,0,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6.5,6.5,6,5.5,5,6.5,5.5,6,6.5,5.5,6.5,2,5,5,5,6,5.5,5,5.5,8,6,6,6,6,5.5,5.5,0,7,4.5,5,"fall"
"f24420702",20,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,12,4,0,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,5,4.5,1.5,4,5,6,5,5,5,4,6.5,2,4.5,5,5,5,5,1,5,9,5,5,5.5,5,6.5,6,4,7,5,5,"fall"
"f24290913",20,0,1,NA,0,"",1,"",NA,NA,NA,NA,1,1,NA,12,7,0,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,9,8,6,7.5,5.5,7,7,8.5,9,7.5,6.5,1,7,6,4,8.5,8,6.5,3.5,4,8.5,7,8,8.5,8,5.5,0,6.5,6,6,"fall"
"f24960919",19,0,3,NA,0,"",1,"",NA,1,NA,NA,NA,NA,NA,12,6,0,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,5.5,6.5,5,5.5,5.5,7,6,6,6,5.5,7,4,5.5,5,5,5.5,7,4.5,5,6.5,6.5,6,6,6,6,6.5,1,5.5,5.5,7.5,"fall"
"f24693686",21,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,5,8.5,8.5,6.5,8,9,9,8,9,3.5,8.5,7.5,8,7,9,4,7.5,10,7,8.5,8,8,8.5,9,3,7.5,6,7,"fall"
"f2447931",19,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,12,6,0,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,5,5.5,6,6.5,5,6,6.5,7.5,5.5,4.5,7,5,5.5,5,7,6.5,6,9,8,5,8,6,9,7.5,2.5,9,5,5.5,"fall"
"f24562668",19,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,1,NA,10,4,0,NA,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,6,7,5.5,7.5,5.5,7,7.5,6,7,6,7,5,5.5,5.5,5,6.5,8,2.5,7.5,8,8.5,6.5,7.5,7.5,6,7,5,8,4.5,5.5,"fall"
"f24526058",21,1,3,NA,1,"",2,"",NA,NA,NA,NA,NA,1,NA,11,7,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,7,8.5,7,8.5,8.5,8,8,7.5,10,5,5,8,8,8.5,7.5,9.5,8,10,7.5,8,7,7.5,8.5,8,5,6,9,8,"fall"
"f24994110",21,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,11,6,0,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,1,NA,1,1,1,NA,7,7,4.5,5,7,5.5,6.5,6,7,7.5,6,3.5,6.5,8.5,5.5,6,5.5,6.5,3.5,4,4.5,8,8,7.5,6.5,5.5,0,7,6,6,"fall"
"f24361777",21,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,11,6,0,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,7,7.5,6,7,6,7,6,7,8.5,8,8,2.5,9,6.5,6.5,6,8,3.5,5,4,7,5,8,6,5,5.5,0,8.5,5.5,6.5,"fall"
"f24518802",19,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,1,NA,10,6,0,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,8,8,9,6.5,7.5,7.5,8,7.5,7,8.5,10,2.5,7.5,9,8.5,8,7,7,5,7,7,7,8,6,6,6,2,6.5,5.5,6,"fall"
"f24953278",21,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,11,6,0,NA,NA,NA,1,1,1,NA,1,1,1,1,1,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,7.5,8,7,6,5,7,5.5,8,6.5,7.5,8.5,2.5,8,7,7,6,7.5,3.5,5,4,7,4.5,7.5,6,5,6.5,2.5,8.5,5.5,6.5,"fall"
"f24988266",18,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,NA,NA,12,5,0,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6.5,6,5.5,5.5,6,6.5,7,6.5,7,6,5,5.5,6.5,5,7,7.5,5.5,6.5,6.5,5.5,7,6,7,7,4.5,5,6,7,5,"fall"
"f2438201",21,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,10,7,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,8,6.5,8.5,6.5,8,8,9,7.5,8.5,5.5,8,0.5,7,7.5,8.5,7.5,5,9,5,5.5,7,8.5,6,8.5,6,7,0.5,5,6,6,"fall"
"f24336502",18,0,1,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,11,5,0,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,5.5,5.5,6,5.5,5,5,6.5,5,5.5,2,5.5,1.5,5,4,5,4.5,5.5,3,2.5,4.5,5,6,4.5,5,0.5,5,0,4,2.5,4,"fall"
"f2432129",18,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,12,6,0,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,4.5,6,6,6,7,6,7.5,7.5,7,5.5,6,4,5.5,6,4.5,5.5,7,8.5,7.5,10,6,6,6,7.5,6.5,6,3.5,5.5,5.5,6,"fall"
"f24267054",21,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,1,NA,2,3,0,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,8,6,7,6.5,8,8.5,7,8.5,8.5,8,7.5,7.5,7,8,7,7.5,6,5.5,4.5,6,6.5,6,6,5,7,8,5,4.5,6,"fall"
"f2479591",19,1,3,NA,1,"",5,"Complicated",1,NA,NA,NA,NA,1,NA,11,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,6.5,5,5.5,6.5,5,5.5,6,6,5.5,5.5,7,1,5,7,5.5,6.5,5,6,7,5,6,6,7,6.5,6,7,1,6.5,7.5,6,"fall"
"f2430240",21,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,12,6,0,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,6.5,6,4,5,6.5,5,5.5,5,8,6.5,6,1,5.5,5.5,5.5,6.5,5.5,6,5.5,9,5,5.5,5.5,8,8.5,6,1,6,6,6,"fall"
"f24447915",21,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,10,7,0,NA,NA,NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,5,7,5,6.5,7.5,10,9,10,9.5,0,6,7.5,8.5,9,9,3,8,7.5,4.5,7.5,8,8,8,6,0,7.5,6,7,"fall"
"f24102573",20,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,2,2,0,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,6.5,6.5,5,5,5.5,7.5,6.5,5.5,6,7.5,9,5,4,6,6,6.5,8,2,5.5,8.5,9,8,7,5.5,8.5,9.5,5.5,8,7.5,7,"fall"
"f24785340",20,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,2,4,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,9.5,9.5,9,9,10,10,8.5,6.5,7.5,8.5,5,9,7,9,9,10,9.5,10,10,8,9,7,7,9.5,8,3.5,6.5,8.5,9.5,"fall"
"f24274732",21,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,11,5,0,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,NA,6.5,5.5,5.5,5.5,6.5,7,6,6,6,7.5,6,1,7,6,5.5,6.5,5.5,5,5,7.5,6,4.5,6,5.5,7,5,1,7,6,6,"fall"
"f248936",19,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,11,1,0,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.5,7.5,7,5,5,6.5,5,10,8,7.5,9,5,5,7,6,8,8.5,7.5,2.5,7.5,5.5,5,7,5,5,7,4.5,5.5,7,5,"fall"
"f2458021",19,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,11,5,0,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,5.5,6.5,5.5,6,5,7,5.5,6,7.5,5.5,7.5,3.5,5,6.5,6,5,5.5,5.5,6,1.5,7,6,5,7.5,5,6,1,3.5,7,6,"fall"
"f24461742",22,1,3,NA,1,"",2,"",1,NA,NA,NA,NA,NA,NA,12,3,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7.5,8,5,7.5,5.5,6.5,6.5,6,6.5,7.5,6.5,4,5,6,5,8,7.5,5,7,9.5,7.5,7,7.5,8,7.5,7,1,7,6.5,6,"fall"
"f24879795",18,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,2,3,0,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,6.5,4.5,6.5,6.5,6,7.5,5,8,7,7,5,5.5,5,5,6,9,3.5,7,9,8,7.5,5,8,8,6,6,6.5,5,5.5,"fall"
"f24508886",18,0,1,NA,0,"",1,"",NA,NA,NA,NA,1,1,NA,11,6,0,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,5.5,7.5,2.5,5.5,5.5,5.5,7,7.5,6.5,4.5,6.5,3,6.5,6,5,4,7,3,4.5,6,5,7,6,6,4,5,2,7,5.5,5,"fall"
"f24482761",18,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,5,1,NA,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,6,7,2.5,7,7,5.5,6,6,8,5.5,6,3,6,4.5,5,5,7.5,3,6.5,8,5.5,6.5,7,8,5.5,4.5,4,5,4,5.5,"fall"
"f24284771",18,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,3,0,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,6,6.5,5.5,5,9,6.5,6.5,6.5,5.5,7,6.5,4.5,7,6,5.5,7.5,7,6,6.5,9.5,6.5,7,6,9.5,7.5,7.5,1,7.5,6,7,"fall"
"f24771955",18,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,1,NA,10,4,0,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,8,4.5,5.5,7,5.5,6,5.5,5,7,6,6.5,0,5.5,6.5,4.5,6,3,3,6,7,5.5,6,5.5,7,6,5.5,0,5.5,5,4.5,"fall"
"f24113460",18,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,10,4,0,NA,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,5.5,5.5,5,5.5,5.5,6,6.5,5,5,5.5,5.5,5,5,5,5.5,6,5.5,4.5,5.5,4,6,8.5,5,5,5,5,0.5,6,5,5,"fall"
"f24396223",20,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,1,NA,12,5,0,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,7.5,8,6,6,7,6,8.5,5.5,6,2.5,6,3.5,4,6,6,6.5,6.5,3,8.5,5.5,7.5,8.5,7.5,8,1.5,5.5,5.5,6.5,6.5,6,"fall"
"f24127914",22,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,2,4,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9.5,9,6.5,9,6.5,6.5,7.5,6,9.5,6.5,6,3,6.5,8,4.5,8.5,8.5,3,7.5,7,5,7.5,5,6,3,5,5,3.5,6,5,"fall"
"f24144498",20,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,1,NA,1,5,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,NA,1,1,7,6,4.5,6.5,6,5.5,6.5,6,5.5,7.5,5,0,5.5,5.5,4.5,6,5.5,2.5,8.5,8,5,8,5,4.5,7,5,1,4.5,8,5.5,"fall"
"f24810103",23,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,NA,NA,12,3,0,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,NA,1,1,1,7.5,7,6,7.5,6,5,8.5,6,6.5,6,5,6,5.5,6,7,7.5,6.5,6,3.5,7,5,8.5,6,6.5,6.5,5,5,5.5,5.5,7,"fall"
"f24929550",21,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,12,4,0,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,6.5,8,8.5,8.5,8.5,5,7.5,6,6,9,6,1,5.5,5,6.5,4.5,7,8.5,4.5,4,4.5,6.5,7,5.5,8,6.5,1,5.5,4.5,5,"fall"
"f2497471",18,1,3,NA,1,"",1,"",1,NA,1,NA,NA,1,NA,10,6,0,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,9.5,5,6.5,5,5,6,8.5,6.5,6,6,7,2,5,6.5,5,7.5,9,5.5,5,8,7,7.5,9,5,4.5,7,1,5.5,5.5,6,"fall"
"f2431923",20,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,1,NA,11,5,0,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,6.5,6,5,7,8,7,8,6.5,7.5,8,7,0,6,7.5,6.5,7,8,4,9.5,10,9.5,10,6.5,8,6.5,6.5,0,8,7,5.5,"fall"
"f2464768",21,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,9,4,0,NA,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,6.5,8.5,5.5,7,6,7,6.5,6.5,6.5,7,6,5.5,5,5.5,6,6.5,9,5,6.5,6.5,6,8.5,8,7.5,9.5,7.5,5,8.5,6.5,8,"fall"
"f24327141",18,1,1,NA,1,"",1,"",NA,NA,1,NA,NA,NA,NA,11,6,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,8,7.5,7,8,7,7.5,8,8.5,7.5,6.5,8.5,4,6,6.5,8.5,7.5,8,6.5,7,6,7,7,7,7.5,7.5,6,2,5,6,8,"fall"
"f24995614",18,0,1,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,10,6,0,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,6.5,8.5,6,6.5,7,6,8,6,7,6,5,0,8.5,5,5.5,4.5,7,6.5,4.5,8,5,8,6,7,5.5,3.5,0,8,4,6.5,"fall"
"f24815631",18,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,NA,NA,1,4,0,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,8.5,7,5.5,9,6,8.5,8.5,6,7,5.5,7.5,5.5,5,7,5,9,8,4.5,7.5,7.5,10,9.5,6,8,6,7,5.5,5,8,5,"fall"
"f24823381",22,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,5,4,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,6.5,8,0.5,3.5,6.5,7.5,8,8.5,7.5,5.5,7,3.5,8,7.5,7,6.5,7.5,1.5,3,8.5,8.5,6,4.5,7,8,5.5,4.5,4.5,5,6,"fall"
"f24655348",19,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,1,4,0,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,6.5,7.5,5.5,5.5,5,7,6.5,6,7.5,6,9.5,5,7,7.5,7,6.5,8,6.5,7.5,8.5,6.5,8.5,6,9,8,9,5,6,6.5,5.5,"fall"
"f24936438",18,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,8,4,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,7.5,8,5.5,8.5,8,6.5,8.5,6,8.5,6,6.5,4.5,5.5,6,7,7,10,4.5,9.5,8.5,8,8.5,6.5,8.5,5,6,5,6.5,7,7,"fall"
"f24252894",23,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,11,7,0,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,9,7,8,7.5,7.5,7.5,7.5,10,7,8.5,10,1,6.5,9,8,8.5,7.5,8,4,5,7.5,6,8.5,6.5,5,6.5,0,5.5,7.5,6.5,"fall"
"f24998131",19,1,3,NA,1,"",1,"",NA,NA,NA,NA,1,NA,NA,6,3,0,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,6.5,5,5,6,6,8.5,6.5,6.5,6,6.5,7,5,6,6,5,6.5,7,4,7,8.5,9,7.5,6.5,5.5,7,6.5,6,7.5,5,5.5,"fall"
"f24801992",19,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,1,NA,10,6,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,7,9,8.5,9.5,6,8,9.5,9,8.5,9.5,7.5,1,8,9,7.5,7,10,6.5,9.5,8.5,10,10,9,8,10,8,0,10,10,6,"fall"
