"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","dq_age18","dq_age19","dq_age20","dq_age21","dq_age22","dq_age23_25","dq_age26","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","ideal_affectionate","ideal_ambition","ideal_artistic","ideal_disposition","ideal_family","ideal_health","ideal_humor","ideal_intelligent","ideal_kind","ideal_parenting","ideal_physatt","ideal_religious","ideal_resources","ideal_sexy","ideal_status","self_affectionate_comp","self_ambition_comp","self_artistic_comp","self_disposition_comp","self_family_comp","self_health_comp","self_humor_comp","self_intelligent_comp","self_kind_comp","self_parenting_comp","self_physatt_comp","self_religious_comp","self_resources_comp","self_sexy_comp","self_status_comp","mPIN"
339,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,8,6,5,8,8,6,9,8,7,7,4,3,8,6,6,8,9,7,7,6,8,8,9,9,6,8,4,5,7,6,186
323,0,23,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,5,8,8,5,9,10,7,9,7,6,4,3,3,5,7,5,9,7,4,4,6,6,7,7,6,5,7,2,7,7,6,211
303,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,5,6,8,5,7,4,5,6,7,6,5,5,5,5,6,6,6,4,5,5,7,4,4,6,5,5,7,5,3,6,6,250
402,0,24,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,9,7,5,8,9,10,8,9,7,8,9,1,10,8,8,8,8,5,5,8,7,7,9,8,6,10,1,5,8,5,230
466,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,6,8,9,6,8,6,8,10,7,9,9,10,5,8,7,9,6,6,6,6,7,6,9,5,6,6,5,5,4,7,6,110
495,0,24,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,2,9,7,6,9,9,6,6,7,10,10,6,6,9,10,8,10,8,9,10,10,7,9,9,9,9,10,4,9,10,9,96
422,0,22,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,3,7,7,7,8,6,8,7,8,4,4,6,3,7,6,7,7,8,6,6,6,7,8,8,6,5,6,5,7,6,8,95
316,0,23,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,7,8,7,9,6,6,7,7,7,8,7,3,9,7,6,6,5,5,6,7,6,5,7,7,8,7,0,6,7,6,190
450,0,26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,7,7,7,5,6,4,8,7,6,6,6,4,5,6,6,8,4,4,4,6,4,5,3,4,4,4,4,4,4,4,4,146
281,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,6,6,6,4,5,5,5,7,6,5,8,2,7,8,8,5,3,4,3,4,4,2,5,4,2,5,2,6,5,5,203
475,0,18,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,4,9,8,6,9,9,8,8,6,9,9,10,2,7,8,7,5,7,5,6,9,8,8,8,8,6,10,1,5,6,9,117
295,0,24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,5,6,6,7,6,5,7,6,7,8,5,7,8,7,7,6,6,6,8,9,6,9,6,7,8,5,8,9,8,7,7,88
438,0,23,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,6,5,5,4,5,3,5,4,6,6,6,7,1,6,8,5,5,4,2,6,5,4,5,4,4,6,5,1,4,8,3,56
479,0,19,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,4,6,7,7,6,9,9,6,8,6,6,9,3,8,6,8,5,4,5,6,5,7,6,6,6,4,6,4,7,7,8,238
488,0,26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,7,6,5,8,6,5,7,8,6,7,5,6,5,6,5,4,6,6,5,6,6,7,6,6,7,7,6,6,8,6,6,159
480,0,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,13,1,5,7,5,2,3,3,3,4,4,6,4,6,2,5,4,7,5,7,5,6,7,5,5,5,7,5,5,5,7,5,218
356,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12,4,6,7,9,8,9,7,9,8,9,7,6,10,6,8,8,8,4,8,8,9,6,8,6,8,8,6,9,7,7,8,9
288,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,2,3,4,4,3,6,3,6,4,4,6,4,6,3,4,3,6,3,2,4,5,5,4,3,5,7,7,8,6,7,4,42
404,0,25,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,6,5,5,4,6,7,6,5,5,5,7,8,6,8,8,7,5,6,7,5,8,6,7,7,5,7,5,7,7,5,7,21
350,0,25,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,1,5,4,9,8,8,6,6,2,5,8,6,6,7,6,5,7,7,9,6,6,7,7,6,8,7,7,5,8,7,6,65
431,0,23,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,5,7,6,7,7,7,6,7,6,7,5,8,7,8,9,8,8,7,8,7,7,7,7,7,8,9,7,5,8,7,26
453,0,25,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5,6,9,6,6,9,8,9,9,9,8,6,9,0,10,10,8,5,7,6,7,8,9,6,9,6,5,7,1,8,7,8,25
258,0,20,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,7,7,6,7,6,7,7,9,7,9,9,7,7,6,7,7,8,7,9,6,8,7,8,7,8,7,7,7,7,8,156
307,0,25,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,5,10,6,9,7,7,6,7,6,7,8,3,5,6,8,4,9,7,6,5,7,5,7,7,8,7,6,1,6,8,5,103
271,0,22,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,1,9,9,8,10,9,9,10,10,10,10,7,6,6,10,9,6,6,6,7,5,6,8,3,4,8,5,7,5,8,7,213
378,0,24,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,9,10,6,8,9,9,8,8,10,9,10,9,10,9,10,6,8,8,9,5,8,10,7,9,6,6,7,7,7,9,172
482,0,26,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,7,5,3,6,6,8,7,9,8,8,7,4,6,4,6,6,7,6,4,4,3,5,8,5,6,6,4,5,7,4,184
334,0,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,13,3,8,8,5,8,6,7,6,7,8,7,6,4,6,7,7,5,8,5,4,5,4,6,7,7,7,5,5,4,5,4,130
497,0,26,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,7,6,9,10,7,7,8,8,9,7,7,9,5,7,8,7,9,7,7,10,4,7,8,8,9,5,9,2,7,10,8,193
379,0,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,7,4,9,9,6,8,7,7,10,8,9,7,8,8,9,10,7,10,7,3,6,7,4,8,9,7,8,8,6,6,10,6,68
343,0,25,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,2,6,8,7,4,7,5,5,4,7,6,8,2,8,9,6,6,8,7,8,5,6,6,8,9,6,8,3,6,9,8,148
476,0,24,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,4,5,4,3,3,5,2,3,5,2,4,5,3,3,5,5,6,4,4,5,5,5,5,6,6,3,6,2,6,7,4,153
315,0,23,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,7,3,6,6,6,6,5,7,5,5,7,8,6,4,6,6,7,6,6,4,6,4,5,7,6,8,9,4,6,5,7,6,137
265,0,22,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,6,7,7,8,9,6,6,9,8,8,9,7,10,7,9,9,7,7,7,7,6,8,7,8,8,8,8,9,5,9,6,40
285,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,7,7,9,7,6,7,6,9,8,7,7,8,7,6,8,7,7,7,8,7,6,6,8,5,6,4,8,5,8,6,57
478,0,19,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,3,6,7,5,6,5,8,7,7,6,1,6,4,7,7,6,7,7,6,6,5,8,8,8,8,2,7,2,7,5,7,157
336,0,21,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,1,6,5,7,4,7,6,5,5,5,7,5,8,4,7,6,4,6,4,4,7,3,5,5,7,8,5,7,5,6,4,114
484,0,26,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,4,6,7,7,6,5,4,7,6,5,8,5,6,7,7,6,8,6,7,5,1,5,7,7,6,8,7,6,6,6,6,79
264,0,18,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,10,6,7,8,9,9,8,8,9,9,9,9,9,7,10,9,6,8,6,9,7,8,6,9,9,7,9,8,7,7,9,7,53
276,0,21,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,6,6,5,5,5,5,6,5,6,5,7,4,4,5,7,7,7,4,1,5,8,4,5,5,6,4,5,2,6,4,4,109
364,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,12,4,6,7,5,6,6,5,7,6,7,6,5,5,7,8,5,8,5,3,5,8,3,6,5,7,7,5,6,6,5,5,80
384,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12,4,7,6,4,7,7,6,5,6,7,8,5,3,4,7,7,7,5,2,5,6,4,4,6,5,8,5,3,4,8,6,35
425,0,26,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,5,9,8,6,7,8,7,9,7,8,7,9,7,8,10,10,7,6,7,7,5,9,7,7,6,5,6,7,6,6,8,66
328,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,7,8,8,7,9,6,9,7,7,10,9,8,8,8,5,9,9,10,8,6,8,6,9,9,9,10,7,7,6,6,9,127
470,0,25,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,5,8,8,5,7,9,6,9,8,9,6,6,4,9,8,5,9,8,3,8,4,6,8,7,9,7,8,6,7,9,6,166
317,0,19,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,3,4,3,2,6,2,3,4,3,3,2,0,3,5,3,7,6,6,7,7,5,4,6,8,7,6,0,5,7,5,179
347,0,23,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,7,7,6,5,4,5,6,6,5,6,4,8,4,4,7,5,5,4,2,2,4,4,5,4,5,4,7,2,4,5,4,45
433,0,22,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,6,6,5,3,7,4,6,6,4,4,7,4,4,5,6,8,4,5,4,8,6,4,6,3,4,4,5,6,3,6,24
436,0,20,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,7,5,5,4,6,6,5,7,6,7,7,4,4,8,5,6,7,7,6,8,5,7,9,7,5,6,5,6,6,5,9,16
486,0,19,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,4,6,5,6,5,4,5,5,5,4,4,7,6,4,5,6,6,4,5,4,7,7,6,4,5,5,7,7,8,6,5,223
499,0,26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,6,5,4,3,7,6,7,4,6,7,3,6,4,6,5,6,5,5,5,7,4,6,6,6,7,5,7,5,6,4,99
408,0,25,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5,5,6,7,7,9,6,5,8,8,7,4,6,0,2,5,6,7,6,4,8,5,5,6,4,5,4,6,1,7,5,6,74
415,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,7,8,6,7,7,7,6,9,9,8,10,5,10,6,8,7,8,8,8,10,8,5,9,9,8,8,4,8,9,8,108
377,0,26,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,4,3,7,3,4,7,7,5,6,4,4,4,5,4,3,6,5,6,4,5,7,6,6,7,4,2,4,7,4,5,5,123
280,0,21,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,4,9,7,6,10,7,7,7,9,9,8,8,6,9,8,7,9,8,7,6,10,8,9,8,10,8,9,7,7,8,5,136
434,0,26,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,10,6,9,8,4,6,4,7,10,10,7,6,9,6,7,6,7,6,7,6,4,4,6,6,7,8,6,5,7,7,4,6,201
385,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,5,7,8,8,6,6,5,6,3,8,7,4,3,0,6,5,2,7,5,4,3,5,3,2,5,5,2,5,0,5,5,3,76
474,0,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,5,9,7,6,8,6,8,8,7,8,8,5,2,6,9,6,8,6,6,5,6,5,6,7,9,8,6,1,4,7,6,142
251,0,19,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,6,1,2,3,3,2,4,2,3,3,0,3,3,4,4,3,2,2,3,3,6,4,3,5,2,2,3,5,4,4,4,215
294,0,23,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,10,9,10,10,10,10,8,10,7,6,10,6,10,10,9,10,9,10,10,10,10,8,10,10,8,10,3,10,10,9,12
469,0,19,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,6,7,6,7,6,6,5,6,8,8,5,5,5,6,6,8,9,6,9,7,7,6,6,7,10,7,4,6,8,6,84
468,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,6,6,7,10,7,6,9,6,8,9,5,10,2,7,9,6,7,7,7,5,8,6,6,8,6,5,8,3,6,9,5,126
494,0,26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,7,4,3,6,4,4,5,7,5,7,4,2,6,7,4,9,5,3,4,5,3,5,6,7,8,5,0,4,6,5,116
446,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,9,8,6,10,9,6,7,8,7,9,8,9,9,6,8,9,10,6,8,10,6,7,8,8,10,6,10,7,7,6,225
329,0,23,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,6,5,3,4,6,2,5,4,4,6,3,7,2,4,5,7,7,4,6,3,3,5,5,5,8,5,7,4,5,3,33
456,0,23,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,10,4,1,3,3,2,3,5,2,3,3,0,2,2,2,4,6,5,4,6,4,7,5,4,7,4,1,5,0,5,4,4,87
361,0,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,4,9,7,4,6,8,8,8,7,7,7,7,9,6,7,7,10,7,8,9,10,8,9,9,10,9,9,9,7,10,9,181
458,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,7,4,4,4,5,7,5,4,6,4,6,5,8,6,7,6,7,5,4,6,6,6,6,6,7,7,6,5,7,8,4,44
370,0,25,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,11,7,5,5,6,7,6,5,5,4,6,4,5,1,7,5,8,6,6,6,8,7,7,6,6,7,7,6,4,5,4,8,NA
392,0,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,13,4,10,10,6,9,8,8,9,9,9,7,10,7,9,9,8,8,8,6,7,8,5,8,8,7,6,9,6,5,10,6,15
454,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,11,6,8,7,5,9,8,8,7,7,9,8,6,3,9,7,6,7,9,8,7,5,7,8,9,9,8,7,4,8,7,5,78
405,0,25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,6,5,6,4,8,7,6,6,4,4,4,7,5,5,4,7,5,5,4,2,5,5,5,6,3,5,9,3,6,4,242
412,0,25,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,4,5,4,3,5,2,6,5,5,5,5,5,3,3,2,4,5,6,3,4,4,4,4,4,4,6,4,4,4,5,4,226
