"PIN","age","sex","sexOrient","sexOrientText","gender","genderText","relStat","relStatText","raceAAPI","raceBlack","raceLatinx","raceNAAI","raceMENA","raceWhite","raceNA","religion","politics","international","poliDQVC","poliDQMC","poliDQSC","poliDQCent","poliDQSL","poliDQML","poliDQVL","ageDQ18","ageDQ19","ageDQ20","ageDQ21","ageDQ22","ageDQ23_25","ageDQ26plus","raceDQAAPI","raceDQBlack","raceDQLatinx","raceDQNAAI","raceDQMENA","raceDQWhite","religionDQ1","religionDQ2","religionDQ3","religionDQ4","religionDQ5","religionDQ6","religionDQ7","religionDQ8","religionDQ9","religionDQ10","religionDQ11","internationalDQDom","internationalDQInt","idealAffectionComp","idealAmbitionComp","idealArtisticComp","idealDispositionComp","idealFamilyComp","idealHealthComp","idealHumorComp","idealIntelligentComp","idealKindComp","idealParentingComp","idealPhysattComp","idealReligiousComp","idealResourcesComp","idealSexyComp","idealStatusComp","selfAffectionateComp","selfAmbitionComp","selfArtisticComp","selfDispositionComp","selfFamilyComp","selfHealthComp","selfHumorComp","selfIntelligentComp","selfKindComp","selfParentingComp","selfPhysattComp","selfReligiousComp","selfResourcesComp","selfSexyComp","selfStatusComp","mPIN"
"f24147575",20,1,3,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,1,3,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,8.5,8.5,8,6,8,7.5,8,5.5,7,6,7,4.5,6,6.5,5.5,7,7.5,8.5,7.5,9,6.5,7.5,7,7.5,5.5,7,5,6.5,6.5,7.5,"f24363334"
"f24275843",18,1,3,NA,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,10,7,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,6,6,6,6,5,5,7.5,7,6,6,5.5,2.5,4,5,6,5.5,7,7,7.5,10,8,6,6,7,8,5.5,0.5,4.5,3.5,6,"f24423571"
"f24118531",20,1,3,NA,1,NA,1,"",1,NA,NA,NA,NA,NA,NA,10,5,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,7,7,5.5,6.5,5.5,6,6.5,6.5,6.5,7,6.5,3.5,6,5.5,6,7,7.5,6,5.5,6.5,6.5,6.5,8,6,7,6,1.5,6.5,6.5,7,"f24994013"
"f24377898",21,1,3,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,12,5,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,8,6.5,6,7.5,6.5,6.5,7,6.5,7,7,7.5,2.5,5,5.5,5,4.5,7,3,5.5,5,5.5,8,7,9,8.5,6,0,7,3,4.5,"f24655853"
"f24713220",23,1,3,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,11,3,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,6,7,5,7,5,6,6,6.5,6.5,6.5,5.5,3,5.5,6,6,6.5,6.5,4,6.5,8.5,6,5,7.5,4.5,5.5,4.5,1,6,5.5,5.5,"f24863445"
"f24544166",24,1,3,NA,1,NA,1,"",NA,1,NA,NA,NA,1,NA,11,7,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,5.5,5.5,6,6,5,6,5,6,6,5,5,2,5.5,5.5,5.5,6.5,6,6.5,4.5,5.5,6.5,5,6.5,6.5,5,5,0,5,5,5,"f24783827"
"f24840732",21,1,3,NA,1,NA,2,"",NA,1,1,NA,1,1,NA,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,6,7,6,7.5,6,5.5,5.5,6.5,6.5,6,6.5,4.5,5,7,7,7,8,6,7.5,6,7,7,7.5,7,7.5,5.5,4,7,8.5,7.5,"f24484299"
"f24568816",25,1,3,NA,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,2,3,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,7.5,6,5.5,7.5,7,5,6.5,5,7.5,8.5,6.5,7,6.5,6,6,7,8.5,6,8.5,8,6,8,9,8.5,8,7.5,9,10,6.5,8.5,"f24772734"
"f24150654",21,1,3,NA,1,NA,1,"",1,NA,NA,NA,NA,NA,NA,9,5,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,6.5,7,6,7.5,6.5,6.5,6.5,5,7,6.5,5.5,2.5,6,5.5,5,5.5,5.5,5.5,6.5,6.5,5.5,6.5,5,7,6,5,2,5,4.5,5,"f24316671"
"f24489262",20,1,3,NA,1,NA,1,"",NA,1,NA,NA,NA,NA,NA,1,4,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,7.5,6,8,8.5,4.5,6,8,8.5,7,7,6,5.5,5.5,5,4,7.5,7,4,3.5,6.5,5,7,7,7,4,4,5,6,8,7.5,"f24299662"
"f24526295",21,1,3,NA,1,NA,1,"",1,NA,NA,NA,1,NA,NA,12,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,5,8,4.5,7.5,6.5,6,6.5,7,7.5,5.5,5,3.5,5,4,7,5,8,5,8,4,5.5,8.5,7.5,8,6.5,4.5,4,5.5,5,8,"f24814274"
"f24983939",21,1,3,NA,0,NA,1,"",1,NA,NA,NA,NA,NA,NA,10,4,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,6.5,7,5,5.5,6,7.5,6,8,6,6,8,3.5,8,6,7.5,5,3,2.5,3.5,2,8,4,9,5,6,8.5,1.5,8,5.5,6,"f24911569"
"f24361844",18,1,3,NA,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,12,3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.5,5,6,8,9,10,8,6,9,8,7,5,5,7,6,7.5,7,7.5,8.5,9,6.5,7.5,7.5,8,7.5,6.5,3.5,7.5,9.5,7,"f24776242"
"f24443181",25,1,3,NA,1,NA,1,"",NA,NA,NA,NA,1,NA,NA,1,4,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,5.5,8,5.5,8.5,8.5,8,7,6.5,8,6.5,7,5,5,6.5,8,7,9,4.5,8,9.5,5,7.5,8,8,7,6,6,5,5,7.5,"f24324705"
"f24529664",18,1,3,NA,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,1,4,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,6.5,7,6,7.5,6.5,5.5,7,6,6,8,5,7,4.5,5.5,5.5,6,8,3.5,7,9,6.5,7,6,6,6.5,5.5,7,6,5,5.5,"f24612688"
"f24723820",19,1,3,NA,1,NA,1,"",1,NA,NA,NA,NA,NA,NA,11,4,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,5.5,6,5,6,10,5,6,5,5,5,5.5,5,5,5,5.5,5.5,10,5,8,10,7.5,10,5.5,6,5,6,4,5,5,6.5,"f24958454"
"f24450377",21,1,3,NA,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,11,5,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,6.5,9.5,5.5,8.5,5.5,7.5,8,8,9,7.5,7.5,0.5,4.5,4.5,7,7.5,6.5,7,7,8,8.5,9,6,9,8,5,0,5,7,8,"f24703185"
"f24318905",21,1,1,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,5.5,7,7,6.5,4,4,6.5,6,6,2,5,3,4,4.5,3,5.5,7,7,3.5,5,3,5,5,6,2.5,4,2,3.5,5,4,"f24162892"
"f24242475",18,1,3,NA,1,NA,1,"",1,NA,NA,NA,NA,NA,NA,11,5,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,6.5,7,3.5,5,2.5,5,6,6,6,4,4.5,0,5.5,4.5,5,5.5,3.5,4,4,4,4,5,6,6.5,4.5,5,0,4,4,5.5,"f24930645"
"f24494329",19,1,3,NA,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,2,6,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6.5,5.5,7,5,5.5,6.5,7,6.5,5,5,5,5,5.5,5,7,7,6,6.5,7.5,6,7,7.5,7.5,6,5,6,6,7,6,"f24809990"
"f24556178",21,1,3,NA,1,NA,1,"",NA,NA,NA,NA,1,NA,NA,12,4,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.5,7,4.5,7.5,6.5,8,8,6,7,6.5,7,5,6,7,6.5,6.5,8.5,6.5,7.5,7.5,7.5,7.5,6,7,8,6.5,5,7,8,7.5,"f24675030"
"f24425885",20,1,3,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,10,6,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,8.5,7.5,3.5,7,6,7,7.5,5.5,7,5.5,9.5,0,8,7.5,8,9,7.5,6,7,6,7,9,7.5,7,7,7.5,0,7.5,8.5,7.5,"f24308524"
"f2414182",20,1,3,NA,1,NA,1,"",1,NA,1,NA,NA,NA,NA,1,4,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8.5,6.5,5,5.5,5,6,5,7.5,5.5,6,3,6,7,5.5,6,8.5,5.5,6.5,7,5.5,7.5,5,8.5,7,5,2.5,4.5,7,6,"f24102355"
"f24949065",20,1,3,NA,1,NA,1,"",NA,NA,1,NA,NA,1,NA,10,5,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,6.5,5,6,5,5,6,7.5,6.5,7.5,6,3,5,6,5,8.5,6,3,4,7.5,5,5.5,6.5,7,8.5,6.5,0,9,6,5.5,"f24909969"
"f24632338",18,1,3,NA,1,NA,1,"",1,NA,NA,NA,NA,1,NA,5,5,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,7,7.5,4.5,6,5.5,6,7,7,6,5.5,7.5,3,5,6.5,6,6.5,4.5,4,4.5,9,4.5,7.5,7.5,4,6.5,6.5,2,8.5,7,7,"f24131495"
"f24756874",19,1,1,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,10,6,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,5,5,2.5,5.5,6.5,5,6,6.5,5,2,6,0.5,5.5,5.5,3.5,4.5,4,3.5,7,7,4.5,5,6.5,5,2.5,4.5,0,6,5,4,"f2447103"
"f24289238",18,1,3,NA,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,10,6,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,6.5,5.5,7,7,6.5,8,6,7,7,5.5,6.5,3,5,5,5,7.5,5,7.5,7,7.5,6,7,6,8,4,6,0.5,5.5,5,4.5,"f24827485"
